profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,repeats,group_repeats,data_source_type,data_source_name
herbarium_3-0-0,Citation,citation,Citation Information,Source,Term source name,termSource,ns2:citations_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
herbarium_3-0-0,Citation,citation,Citation Information,"",Publication place,publicationPlace,ns2:citations_common.publicationPlace,publicationPlacePlaceLocal; publicationPlacePlaceTgn; publicationPlaceRefname,n,y,authority; refname,place/local; place/tgn; authority refname
herbarium_3-0-0,Citation,citation,Citation Information,"",Agent name,agent,ns2:citations_common.agent,agentPersonLocal; agentPersonUlan; agentOrganizationLocal; agentRefname,n,y,authority; refname,person/local; person/ulan; organization/local; authority refname
herbarium_3-0-0,Citation,citation,Citation Information,"",Related term,relatedTerm,ns2:citations_common.relatedTerm,relatedTermConceptAssociated; relatedTermConceptActivity; relatedTermConceptMaterial; relatedTermRefname,n,y,authority; refname,concept/associated; concept/activity; concept/material; authority refname
herbarium_3-0-0,Object,collectionobject,Object Identification Information,"",Hybrid parent name,herbHybridParent,ns2:collectionobjects_herbarium.herbHybridParent,herbHybridParentTaxonLocal; herbHybridParentTaxonCommon; herbHybridParentRefname,n,y,authority; refname,taxon/local; taxon/common; authority refname
herbarium_3-0-0,Object,collectionobject,Object Identification Information,"",Type specimen verified basionym,herbTypeSpecimenBasionym,ns2:collectionobjects_herbarium.herbTypeSpecimenBasionym,herbTypeSpecimenBasionymTaxonLocal; herbTypeSpecimenBasionymTaxonCommon; herbTypeSpecimenBasionymRefname,n,y,authority; refname,taxon/local; taxon/common; authority refname
herbarium_3-0-0,Object,collectionobject,Object History and Association Information,Object Owner's Contribution Information,Owner,owner,ns2:collectionobjects_common.owner,ownerPersonLocal; ownerOrganizationLocal; ownerRefname,y,n,authority; refname,person/local; organization/local; authority refname
herbarium_3-0-0,Object,collectionobject,Reference Information,Reference Information,Reference,reference,ns2:collectionobjects_common.reference,referenceCitationLocal; referenceCitationWorldcat; referenceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
herbarium_3-0-0,Object,collectionobject,Object Collection Information,"",Field collector,fieldCollector,ns2:collectionobjects_common.fieldCollector,fieldCollectorPersonLocal; fieldCollectorOrganizationLocal; fieldCollectorRefname,y,n,authority; refname,person/local; organization/local; authority refname
herbarium_3-0-0,Object,collectionobject,Object Collection Information,"",Associated taxon name,herbAssocTaxon,ns2:collectionobjects_herbarium.herbAssocTaxon,herbAssocTaxonTaxonLocal; herbAssocTaxonTaxonCommon; herbAssocTaxonRefname,n,y,authority; refname,taxon/local; taxon/common; authority refname
herbarium_3-0-0,Object,collectionobject,Object Description Information,"",Measured by,measuredBy,ns2:collectionobjects_common.measuredBy,measuredByPersonLocal; measuredByOrganizationLocal; measuredByRefname,n,y,authority; refname,person/local; organization/local; authority refname
herbarium_3-0-0,Object,collectionobject,Object Description Information,Content,Content concept,contentConcept,ns2:collectionobjects_common.contentConcept,contentConceptConceptAssociated; contentConceptConceptMaterial; contentConceptRefname,y,n,authority; refname,concept/associated; concept/material; authority refname
herbarium_3-0-0,Object,collectionobject,Object Description Information,Content,Content person,contentPerson,ns2:collectionobjects_common.contentPerson,contentPersonPersonLocal; contentPersonPersonUlan; contentPersonRefname,y,n,authority; refname,person/local; person/ulan; authority refname
herbarium_3-0-0,Object,collectionobject,Object Description Information,Content,Content organization,contentOrganization,ns2:collectionobjects_common.contentOrganization,contentOrganizationOrganizationLocal; contentOrganizationOrganizationUlan; contentOrganizationRefname,y,n,authority; refname,organization/local; organization/ulan; authority refname
herbarium_3-0-0,Concept,concept,Concept Information,Source,Term source name,termSource,ns2:concepts_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
herbarium_3-0-0,Exhibition,exhibition,Exhibition Information,"",Sponsor,sponsor,ns2:exhibitions_common.sponsor,sponsorPersonLocal; sponsorPersonUlan; sponsorOrganizationLocal; sponsorOrganizationUlan; sponsorRefname,y,n,authority; refname,person/local; person/ulan; organization/local; organization/ulan; authority refname
herbarium_3-0-0,Exhibition,exhibition,Exhibition Information,"",Organizer,organizer,ns2:exhibitions_common.organizer,organizerPersonLocal; organizerPersonUlan; organizerOrganizationLocal; organizerOrganizationUlan; organizerRefname,y,n,authority; refname,person/local; person/ulan; organization/local; organization/ulan; authority refname
herbarium_3-0-0,Exhibition,exhibition,Exhibition Information,"",Venue name,venue,ns2:exhibitions_common.venue,venueOrganizationLocal; venueOrganizationUlan; venueLocationLocal; venueLocationOffsite; venuePlaceLocal; venuePlaceTgn; venueRefname,n,y,authority; refname,organization/local; organization/ulan; location/local; location/offsite; place/local; place/tgn; authority refname
herbarium_3-0-0,Exhibition,exhibition,Exhibition Information,"",Working group member name,exhibitionPerson,ns2:exhibitions_common.exhibitionPerson,exhibitionPersonPersonLocal; exhibitionPersonPersonUlan; exhibitionPersonOrganizationLocal; exhibitionPersonOrganizationUlan; exhibitionPersonRefname,n,y,authority; refname,person/local; person/ulan; organization/local; organization/ulan; authority refname
herbarium_3-0-0,Exhibition,exhibition,Exhibition Information,"",Bibliographic reference,exhibitionReference,ns2:exhibitions_common.exhibitionReference,exhibitionReferenceCitationLocal; exhibitionReferenceCitationWorldcat; exhibitionReferenceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
herbarium_3-0-0,Insurance/Indemnity,insurance,Insurance and Indemnity Information,"",Quote provider,insuranceIndemnityQuoteProvider,ns2:insurances_common.insuranceIndemnityQuoteProvider,insuranceIndemnityQuoteProviderPersonLocal; insuranceIndemnityQuoteProviderPersonUlan; insuranceIndemnityQuoteProviderOrganizationLocal; insuranceIndemnityQuoteProviderOrganizationUlan; insuranceIndemnityQuoteProviderRefname,n,y,authority; refname,person/local; person/ulan; organization/local; organization/ulan; authority refname
herbarium_3-0-0,Intake,intake,Object Entry Information,"",Current owner,currentOwner,ns2:intakes_common.currentOwner,currentOwnerPersonLocal; currentOwnerOrganizationLocal; currentOwnerRefname,y,n,authority; refname,person/local; organization/local; authority refname
herbarium_3-0-0,Intake,intake,Object Entry Information,"",Depositor name,depositor,ns2:intakes_common.depositor,depositorPersonLocal; depositorOrganizationLocal; depositorRefname,n,y,authority; refname,person/local; organization/local; authority refname
herbarium_3-0-0,Intake,intake,Object Collection Information,"",Field collection source,fieldCollectionSource,ns2:intakes_common.fieldCollectionSource,fieldCollectionSourcePersonLocal; fieldCollectionSourceConceptEthculture; fieldCollectionSourceRefname,y,n,authority; refname,person/local; concept/ethculture; authority refname
herbarium_3-0-0,Intake,intake,Object Collection Information,"",Field collector,fieldCollector,ns2:intakes_common.fieldCollector,fieldCollectorPersonLocal; fieldCollectorOrganizationLocal; fieldCollectorRefname,y,n,authority; refname,person/local; organization/local; authority refname
herbarium_3-0-0,Intake,intake,Insurance Information,"",Insurer,insurer,ns2:intakes_common.insurer,insurerPersonLocal; insurerOrganizationLocal; insurerRefname,y,n,authority; refname,person/local; organization/local; authority refname
